allele1,allele2,similarity,overlap
C1502,C1502,1.0,181
C1502,A2301,0.416666666667,12
C1502,A0217,nan,0
C1502,A0216,0.555555555556,9
C1502,A0211,0.5,8
C1502,A0210,nan,0
C1502,A0212,0.5625,16
C1502,B51,nan,0
C1502,A0219,0.611111111111,18
C1502,B4001,0.565217391304,23
C1502,A6901,0.705882352941,34
C1502,C0401,0.745454545455,55
C1502,B1542,0.803921568627,51
C1502,C0602,0.723076923077,65
C1502,B7301,0.5,2
C1502,B5801,0.54347826087,46
C1502,B5802,nan,0
C1502,B0702,0.404255319149,47
C1502,B3503,nan,0
C1502,B3501,0.466666666667,30
C1502,A0206,0.454545454545,22
C1502,A0207,nan,0
C1502,A0204,nan,0
C1502,A0205,nan,0
C1502,A0202,0.25,4
C1502,A0203,0.566666666667,30
C1502,A0201,0.576923076923,52
C1502,C0802,0.5,10
C1502,B3901,0.52,25
C1502,B7,nan,0
C1502,B8,nan,0
C1502,B4601,0.636363636364,33
C1502,B2720,0.269230769231,26
C1502,A6601,nan,0
C1502,C1402,0.344827586207,87
C1502,B2710,nan,0
C1502,B5201,nan,0
C1502,A0101,0.636363636364,33
C1502,E0101,nan,0
C1502,A2402,0.2,10
C1502,A2403,0.294117647059,17
C1502,B1401,nan,0
C1502,B1402,1.0,1
C1502,A3301,0.5,2
C1502,A3/11,nan,0
C1502,A6823,0.388888888889,18
C1502,B4801,0.466666666667,15
C1502,C0702,0.52,25
C1502,B4201,nan,0
C1502,B2704,nan,0
C1502,B4202,nan,0
C1502,B2702,nan,0
C1502,B2703,0.615384615385,13
C1502,B2701,nan,0
C1502,A7401,nan,0
C1502,B8301,0.775510204082,49
C1502,A1102,nan,0
C1502,A1101,0.666666666667,27
C1502,B0803,0.636363636364,11
C1502,B0802,0.526315789474,19
C1502,B0801,0.5,32
C1502,B5703,nan,0
C1502,B5702,nan,0
C1502,B5701,0.648648648649,37
C1502,A2902,0.333333333333,18
C1502,C0303,0.647058823529,17
C1502,A0250,1.0,2
C1502,A3207,0.0952380952381,21
C1502,A2501,0.647058823529,17
C1502,B1501,0.408163265306,49
C1502,A3201,nan,0
C1502,B1502,0.230769230769,13
C1502,B1509,0.6875,16
C1502,E0103,nan,0
C1502,B2706,nan,0
C1502,B1503,nan,0
C1502,B8101,nan,0
C1502,A3101,0.592592592593,27
C1502,B2705,0.451612903226,31
C1502,B60,nan,0
C1502,A24,nan,0
C1502,A26,nan,0
C1502,B3701,nan,0
C1502,B1517,0.620689655172,29
C1502,A3215,0.263157894737,19
C1502,B4506,0.8,50
C1502,B4501,nan,0
C1502,B1801,0.625,24
C1502,B5101,0.772727272727,22
C1502,B5401,nan,0
C1502,A0302,nan,0
C1502,A0301,0.588235294118,34
C1502,A11,nan,0
C1502,A1,nan,0
C1502,B4002,nan,0
C1502,A3,nan,0
C1502,A2,nan,0
C1502,A6802,0.789473684211,19
C1502,A6801,0.5,2
C1502,A3001,0.483870967742,31
C1502,A3002,1.0,1
C1502,Cw1,nan,0
C1502,C0501,0.578947368421,19
C1502,C1203,0.576923076923,26
C1502,Cw4,nan,0
C1502,A0319,0.5,10
C1502,B5301,1.0,1
C1502,A2601,0.590909090909,44
C1502,A2602,0.6875,16
C1502,A2603,0.909090909091,11
C1502,A8001,0.578947368421,19
C1502,B4403,nan,0
C1502,B4402,0.4,15
C1502,B3801,0.333333333333,3
C1502,B4013,0.157894736842,19
A2301,C1502,0.416666666667,12
A2301,A2301,1.0,1784
A2301,A0217,0.0,1
A2301,A0216,0.955271565495,313
A2301,A0211,0.905292479109,359
A2301,A0210,1.0,16
A2301,A0212,0.90625,416
A2301,B51,nan,0
A2301,A0219,0.963325183374,409
A2301,B4001,0.888382687927,439
A2301,A6901,0.915717539863,439
A2301,C0401,0.622222222222,45
A2301,B1542,0.95,20
A2301,C0602,0.808988764045,89
A2301,B7301,nan,0
A2301,B5801,0.809210526316,456
A2301,B5802,0.857142857143,14
A2301,B0702,0.75944333996,503
A2301,B3503,0.872881355932,118
A2301,B3501,0.773371104816,353
A2301,A0206,0.7466367713,446
A2301,A0207,0.666666666667,3
A2301,A0204,nan,0
A2301,A0205,0.8,5
A2301,A0202,0.783783783784,333
A2301,A0203,0.864314789688,737
A2301,A0201,0.827706635623,859
A2301,C0802,0.5,10
A2301,B3901,0.903448275862,435
A2301,B7,0.333333333333,3
A2301,B8,nan,0
A2301,B4601,0.961275626424,439
A2301,B2720,0.0,1
A2301,A6601,0.780487804878,41
A2301,C1402,0.461538461538,13
A2301,B2710,nan,0
A2301,B5201,nan,0
A2301,A0101,0.740952380952,1050
A2301,E0101,nan,0
A2301,A2402,0.913043478261,1150
A2301,A2403,0.970315398887,539
A2301,B1401,0.55,40
A2301,B1402,0.746268656716,134
A2301,A3301,0.908771929825,285
A2301,A3/11,nan,0
A2301,A6823,0.166666666667,6
A2301,B4801,0.981818181818,55
A2301,C0702,0.692307692308,13
A2301,B4201,0.745098039216,102
A2301,B2704,nan,0
A2301,B4202,0.363636363636,11
A2301,B2702,nan,0
A2301,B2703,0.986945169713,383
A2301,B2701,nan,0
A2301,A7401,0.5,2
A2301,B8301,0.789473684211,19
A2301,A1102,nan,0
A2301,A1101,0.786259541985,524
A2301,B0803,0.40625,32
A2301,B0802,0.666666666667,75
A2301,B0801,0.773672055427,433
A2301,B5703,0.230769230769,13
A2301,B5702,0.166666666667,6
A2301,B5701,0.896644295302,745
A2301,A2902,0.744460856721,1354
A2301,C0303,0.444444444444,9
A2301,A0250,0.969696969697,33
A2301,A3207,0.0,1
A2301,A2501,0.905660377358,424
A2301,B1501,0.824390243902,615
A2301,A3201,0.886956521739,115
A2301,B1502,1.0,1
A2301,B1509,0.644736842105,76
A2301,E0103,1.0,1
