
Allele:  B0702 	#entries : 2974 	AUC:  0.719385763591 	ACC: 0.790517821116

Allele:  B0702 	#entries : 2974 	AUC:  0.671438990174 	ACC: 0.798587760592

Allele:  B0702 	#entries : 2974 	AUC:  0.770493378961 	ACC: 0.784801613988

Allele:  B0702 	#entries : 2974 	AUC:  0.785465556508 	ACC: 0.805985205111

Allele:  B0801 	#entries : 2084 	AUC:  0.669858521729 	ACC: 0.779270633397

Allele:  A0101 	#entries : 3169 	AUC:  0.807897823417 	ACC: 0.866834963711

Allele:  A0201 	#entries : 6961 	AUC:  0.952691422374 	ACC: 0.882919120816

Allele:  A0101 	#entries : 3169 	AUC:  0.817077549397 	ACC: 0.8781950142

Allele:  A0101 	#entries : 3169 	AUC:  0.810410717015 	ACC: 0.863048280215

Allele:  A0201 	#entries : 6961 	AUC:  0.953863111484 	ACC: 0.895991955179

Allele:  A0202 	#entries : 2314 	AUC:  0.912845741905 	ACC: 0.824114088159

Allele:  A0203 	#entries : 3937 	AUC:  0.923897402214 	ACC: 0.861569723139

Allele:  A0205 	#entries : 36 	AUC:  1.0 	ACC: 0.972222222222

Allele:  A0206 	#entries : 3223 	AUC:  0.877107332103 	ACC: 0.806391560658

Allele:  A0207 	#entries : 30 	AUC:  0.857142857143 	ACC: 0.633333333333

Allele:  A0211 	#entries : 1038 	AUC:  0.935359272004 	ACC: 0.81021194605

Allele:  A0212 	#entries : 1143 	AUC:  0.961918726435 	ACC: 0.92125984252

Allele:  A0216 	#entries : 894 	AUC:  0.961878405995 	ACC: 0.923937360179

Allele:  A0219 	#entries : 1203 	AUC:  0.961304441697 	ACC: 0.920199501247

Allele:  A0250 	#entries : 132 	AUC:  0.990185950413 	ACC: 0.969696969697

Allele:  A0301 	#entries : 4601 	AUC:  0.915866331002 	ACC: 0.803955661813

Allele:  A1101 	#entries : 3862 	AUC:  0.927182744333 	ACC: 0.848524080787

Allele:  A2301 	#entries : 1513 	AUC:  0.863465334841 	ACC: 0.844679444812

Allele:  A2402 	#entries : 1985 	AUC:  0.866808842808 	ACC: 0.866498740554

Allele:  A2403 	#entries : 1165 	AUC:  0.935617287277 	ACC: 0.88669527897

Allele:  A2501 	#entries : 519 	AUC:  0.871228844739 	ACC: 0.743737957611

Allele:  A2601 	#entries : 2395 	AUC:  0.89410196361 	ACC: 0.901461377871

Allele:  A2602 	#entries : 202 	AUC:  0.986733001658 	ACC: 0.881188118812

Allele:  A2603 	#entries : 205 	AUC:  0.941555555556 	ACC: 0.912195121951

Allele:  A2902 	#entries : 1839 	AUC:  0.795041418647 	ACC: 0.803153887983

Allele:  A3001 	#entries : 1949 	AUC:  0.71213927307 	ACC: 0.760389943561

Allele:  A3002 	#entries : 912 	AUC:  0.687312611961 	ACC: 0.589912280702

Allele:  A3101 	#entries : 3309 	AUC:  0.785916717514 	ACC: 0.77878513146

Allele:  A3201 	#entries : 575 	AUC:  0.666921212121 	ACC: 0.551304347826

Allele:  A0101 	#entries : 3169 	AUC:  0.799323419855 	ACC: 0.861154938466

Allele:  A0101 	#entries : 3169 	AUC:  0.774096435457 	ACC: 0.859892710634

Allele:  A0201 	#entries : 6961 	AUC:  0.955448877331 	ACC: 0.879471340325

Allele:  A0202 	#entries : 2314 	AUC:  0.911937806822 	ACC: 0.814606741573

Allele:  A0203 	#entries : 3937 	AUC:  0.933446422549 	ACC: 0.854965709931

Allele:  A0205 	#entries : 36 	AUC:  1.0 	ACC: 0.972222222222

Allele:  A0206 	#entries : 3223 	AUC:  0.884500042772 	ACC: 0.813527769159

Allele:  A0207 	#entries : 30 	AUC:  0.888198757764 	ACC: 0.633333333333

Allele:  A0211 	#entries : 1038 	AUC:  0.940261132502 	ACC: 0.865125240848

Allele:  A0212 	#entries : 1143 	AUC:  0.961265186426 	ACC: 0.92738407699

Allele:  A0101 	#entries : 3169 	AUC:  0.812076619548 	ACC: 0.863048280215

Allele:  A0101 	#entries : 3169 	AUC:  0.782923095053 	ACC: 0.86052382455

Allele:  A0201 	#entries : 6961 	AUC:  0.948987083289 	ACC: 0.877747450079

Allele:  A0202 	#entries : 2314 	AUC:  0.909272578032 	ACC: 0.824114088159

Allele:  A0203 	#entries : 3937 	AUC:  0.92284537529 	ACC: 0.846075692151

Allele:  A0205 	#entries : 36 	AUC:  1.0 	ACC: 1.0

Allele:  A0206 	#entries : 3223 	AUC:  0.869535059389 	ACC: 0.766366739063

Allele:  A0101 	#entries : 3169 	AUC:  0.575866462652 	ACC: 0.839065951404

Allele:  A0101 	#entries : 3169 	AUC:  0.799759344061 	ACC: 0.85421268539

Allele:  A0101 	#entries : 3169 	AUC:  0.803322230385 	ACC: 0.856421584096

Allele:  A0101 	#entries : 3169 	AUC:  0.825377141184 	ACC: 0.86210160934

Allele:  A0101 	#entries : 3169 	AUC:  0.776897950466 	ACC: 0.841905964027

Allele:  A0101 	#entries : 3169 	AUC:  0.803747567202 	ACC: 0.85894603976

Allele:  A0101 	#entries : 3169 	AUC:  0.831679399152 	ACC: 0.865257178921

Allele:  A0201 	#entries : 6961 	AUC:  0.939976353209 	ACC: 0.865105588278
